elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000267, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000267, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000031, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000031, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000031, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000267, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000133, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000031, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000429, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000267, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000133, <class 'configparser.NoOptionError'>, MngPartner.py, 363, No option 'authtoken' in section: 'Var'
elvNo: 0000387, <class 'configparser.NoOptionError'>, MngPartner.py, 361, No option 'authtoken' in section: 'Var'
elvNo: 0000387, <class 'configparser.NoOptionError'>, MngPartner.py, 361, No option 'authtoken' in section: 'Var'
elvNo: 0000431, <class 'configparser.NoOptionError'>, MngPartner.py, 361, No option 'authtoken' in section: 'Var'
elvNo: 0000431, <class 'configparser.NoOptionError'>, MngPartner.py, 361, No option 'authtoken' in section: 'Var'
elvNo: 0000431, <class 'configparser.NoOptionError'>, MngPartner.py, 361, No option 'authtoken' in section: 'Var'
elvNo: 0000431, <class 'configparser.NoOptionError'>, MngPartner.py, 361, No option 'authtoken' in section: 'Var'
elvNo: 0000431, <class 'configparser.NoOptionError'>, MngPartner.py, 361, No option 'authtoken' in section: 'Var'
elvNo: 0000431, <class 'configparser.NoOptionError'>, MngPartner.py, 361, No option 'authtoken' in section: 'Var'
elvNo: 0000431, <class 'configparser.NoOptionError'>, MngPartner.py, 361, No option 'authtoken' in section: 'Var'
elvNo: 0000431, <class 'configparser.NoOptionError'>, MngPartner.py, 361, No option 'authtoken' in section: 'Var'
<class 'AttributeError'>, MngPartner.py, 185, 'str' object has no attribute 'text'
elvNo: 0000409, <class 'Exception'>, MngPartner.py, 370, MngNo 추출 실패
<class 'TypeError'>, MngPartner.py, 185, get() takes from 1 to 2 positional arguments but 3 were given
elvNo: 0000424, <class 'Exception'>, MngPartner.py, 370, MngNo 추출 실패
<class 'TypeError'>, MngPartner.py, 185, get() takes from 1 to 2 positional arguments but 3 were given
